vietnamese,vsl
"Đem Tôi một ly sữa tươi trân châu đường đen kem trứng, không ngọt lắm.",Tôi trà sữa một ngọt ít muốn
"Mình muốn thêm đường cho ba ly trà vải cam sả dâu, cảm ơn.",Tôi trà dâu ba đường muốn
Mình muốn một ly nước ép cóc và hai ly nước ép cam.,Tôi nước ép thơm một nước ép cam hai muốn
Em lấy hai ly sữa chua chanh dây và một ly trà gừng.,Tôi sữa chua xoài hai trà gừng một muốn
"Mang cho Tôi ba ly trà cam quế mật ong đá xoài, thêm đường.",Tôi trà xoài ba đường muốn
Làm lấy Tôi thêm một ly socola đá sữa.,Tôi cà-phê sữa một muốn
Em muốn hai ly trà cam nha đam xoài và thêm đá.,Tôi trà xoài hai đá muốn
Đem Tôi một ly trà hoa đậu biếc và ba ly nước ép cóc.,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Anh muốn hai ly trà cam nha đam xoài và thêm đá.,Tôi trà xoài hai đá muốn
Mình muốn một ly trà lipton cam thảo nóng và hai ly cà phê sữa.,Tôi trà gừng một cà-phê sữa hai muốn
"Em lấy ba ly sữa chua kiwi nha đam, làm nhanh giúp Tôi.",Tôi sữa chua dâu ba muốn
Mình uống một nước ép cam vừa thôi.,mình nước ép ổi một muốn
"Lấy Tôi một ly sữa tươi trân châu đường đen kem trứng, không ngọt lắm.",Tôi trà sữa một ngọt ít muốn
"Đem Tôi một ly sữa tươi trân châu đường đen trứng nướng, không ngọt lắm.",Tôi trà sữa một ngọt ít muốn
Mình muốn bốn ly sữa chua kiwi nha đam và một phích cắm.,Tôi sữa chua chanh dây bốn phích cắm muốn
Mình muốn ba ly trà cam quế mật ong đá dâu và thêm đường một chút.,Tôi trà dâu ba đường ít muốn
Làm đem Tôi thêm một ly americano sữa.,Tôi cà-phê sữa một muốn
Làm cho mình một ly nước ép cà chua không đường.,mình nước ép cam một đường không muốn
"Anh muốn một ly trà cam nha đam hoa đậu biếc, làm nhanh.",Tôi trà hoa đậu biếc một muốn
Mình uống một cà phê đen Sài Gòn phin sữa đá.,mình cà-phê sữa một đá muốn
Mình muốn một ly nước ép thơm,Tôi nước ép ổi một muốn
"Em gọi hai ly cà phê đen, một ly sữa chua chanh dây, và cảm ơn.",Tôi cà-phê đen hai sữa chua dâu một muốn
Mình muốn gọi thêm một ly sữa chua việt quất.,Tôi sữa chua chanh dây một muốn
"Em muốn một ly nước ép cà chua, một ly trà xoài, và thêm đá.",Tôi nước ép thơm một trà xoài một đá muốn
Đem mình một ly cà phê trứng đá đen đá.,mình cà-phê đen một muốn
Mang cho Tôi một ly cà phê đen và một ly nước chanh hoa đậu biếc.,Tôi cà-phê đen một nước ép thơm một muốn
Mình gọi gọi một cà phê dừa sữa nóng.,mình cà-phê sữa một nóng muốn
"Lấy Tôi hai ly nước ép cà rốt, ít ngọt.",Tôi nước ép ổi hai ngọt ít muốn
Lấy Tôi một ly trà hoa đậu biếc và ba ly nước ép ổi.,Tôi trà hoa đậu biếc một nước ép cam ba muốn
"Anh muốn một ly trà hoa đậu biếc, hai ly nước chanh xí muội, và một phích cắm.",Tôi trà hoa đậu biếc một nước ép ổi hai phích cắm muốn
Đem Anh một ít khăn giấy.,Tôi khăn giấy ít muốn
Lấy Tôi một ly sữa chua dâu,Tôi sữa chua xoài một muốn
"Anh gọi ba ly sữa tươi trân châu đường đen kem trứng, ít đá.",Tôi trà sữa ba đá ít muốn
Mình muốn ba ly nước ép ổi và một phích cắm.,Tôi nước ép thơm ba phích cắm muốn
Anh gọi một cốc nước cam,Tôi nước ép cam một muốn
Đem Tôi hai ly trà xoài và một ly nước chanh xí muội.,Tôi trà xoài hai nước ép cam một muốn
"Lấy Tôi bốn ly nước ép cam và một ly trà gừng, cảm ơn.",Tôi nước ép ổi bốn trà gừng một muốn
Mình muốn một ly cà phê đen máy đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
"Đem Tôi năm ly nước ép cà rốt, mang ra nhanh giúp.",Tôi nước ép thơm năm muốn
"Đem Tôi bốn ly nước chanh hoa đậu biếc và một ly trà gừng, cảm ơn.",Tôi nước ép ổi bốn trà gừng một muốn
Mình uống một nước chanh hoa đậu biếc vừa thôi.,mình nước ép ổi một muốn
"Lấy Tôi hai ly cà phê đen phin đen và một ly trà xoài, cảm ơn.",Tôi cà-phê đen hai trà xoài một muốn
Mình uống một trà thạch sữa đào hoa đậu biếc nhé.,mình trà hoa đậu biếc một muốn
Anh cảm ơn bạn,Tôi cảm ơn
"Anh muốn một ly trà hoa đậu biếc, hai ly nước chanh hoa đậu biếc, và một phích cắm.",Tôi trà hoa đậu biếc một nước ép ổi hai phích cắm muốn
Mang cho Tôi một ly trà olong dâu vải nóng.,Tôi trà gừng một nóng muốn
Cho cho Tôi một ly trà cam quế mật ong đá nóng.,Tôi trà gừng một nóng muốn
Em lấy thêm một cái ly nhỏ.,Tôi ly nhỏ một muốn
Làm cho mình một nước chanh hoa đậu biếc mát lạnh.,mình nước ép thơm một lạnh muốn
"Đem Tôi hai ly nước chanh hoa đậu biếc, ít ngọt.",Tôi nước ép ổi hai ngọt ít muốn
Cho cho Tôi một ly nước ép ổi và cảm ơn.,Tôi nước ép cam một muốn
Mình muốn ba ly trà cam quế mật ong nóng dâu và thêm đường một chút.,Tôi trà dâu ba đường ít muốn
Đem Anh thêm một cái ống hút.,Tôi ống hút một muốn
Em gọi hai ly sữa chua việt quất và một ly cà phê đen.,Tôi sữa chua xoài hai cà-phê đen một muốn
Cho cho mình một ly trà lipton cam thảo nóng hoa đậu biếc đẹp đẹp nhé.,mình trà hoa đậu biếc một muốn
Mình muốn năm ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà sữa năm muốn
Anh muốn thêm một ly nước ép cóc.,Tôi nước ép cam một muốn
"Lấy Tôi năm ly nước ép cam, mang ra nhanh giúp.",Tôi nước ép thơm năm muốn
Cho giúp em một tờ giấy ăn.,mình giấy ăn một muốn
Làm đem mình một phần sữa chua đào mát lạnh.,mình sữa chua chanh dây một lạnh muốn
"Mình muốn một ly americano đen, ít đường thôi.",Tôi ly một cà phê đen đường ít muốn
"Đem Tôi bốn ly socala nóng sữa, thêm đá nhiều.",Tôi cà-phê sữa bốn đá nhiều muốn
Anh lấy thêm một cái ly nhỏ.,Tôi ly nhỏ một muốn
Em muốn thêm một ly nước ép cà chua.,Tôi nước ép cam một muốn
"Anh muốn một ly trà dâu và một ly capuchino sữa, ít đá.",Tôi trà dâu một cà-phê sữa một đá ít muốn
Cắm giùm em cái sạc vào phích cắm kia với.,mình sạc phích cắm muốn
Làm lấy mình một ly trà gừng dâu size lớn.,mình trà dâu một lớn muốn
"Mình muốn một ly cacao nóng sữa, ít đá, và thêm giấy ăn.",Tôi cà-phê sữa một đá ít giấy ăn muốn
Lấy Anh mượn phích cắm.,Tôi phích cắm muốn
Em gọi một ly trà hoa đậu biếc và một ly sữa chua đào.,Tôi trà hoa đậu biếc một sữa chua chanh dây một muốn
"Anh gọi ba ly sữa tươi trân châu đường đen trứng nướng, ít đá.",Tôi trà sữa ba đá ít muốn
Mình chọn một phần trà thạch vải dâu nha.,mình trà dâu một muốn
Đem Anh mượn phích cắm.,Tôi phích cắm muốn
Anh lấy một ly nước ép cóc và một phích cắm.,Tôi nước ép thơm một phích cắm muốn
Lấy Tôi thêm một ly nước chanh hoa đậu biếc.,Tôi nước ép thơm một muốn
Anh muốn một ly cà phê đen và hai ly sữa chua chanh dây.,Tôi cà-phê đen một sữa chua xoài hai muốn
Lấy Tôi một ly sữa chua việt quất,Tôi sữa chua xoài một muốn
Anh muốn ba ly sữa chua kiwi nha đam.,Tôi sữa chua chanh dây ba muốn
Mình lấy một ly nước ép cam và một phích cắm.,Tôi nước ép thơm một phích cắm muốn
Làm lấy mình một phần sữa chua đào mát lạnh.,mình sữa chua chanh dây một lạnh muốn
Mình lấy mượn phích cắm điện để sạc máy.,mình phích cắm muốn
Em muốn ba ly nước ép cóc và một phích cắm.,Tôi nước ép thơm ba phích cắm muốn
Làm đem Tôi một ly sữa chua cam nha đam,Tôi sữa chua chanh dây một muốn
Em lấy hai ly trà dâu và một ly sữa tươi trân châu đường đen kem trứng.,Tôi trà dâu hai trà sữa một muốn
"Mình muốn một ly nước ép cam, một ly trà gừng, và một ly sữa chua cam nha đam.",Tôi nước ép cam một trà gừng một sữa chua xoài một muốn
Mình muốn một ly nước ép cam,Tôi nước ép ổi một muốn
Mình uống một cốc nước chanh xí muội nguyên chất.,mình nước ép ổi một nguyên chất muốn
Cho giúp mình một ly trà gừng xoài ít đường.,mình trà xoài một đường ít muốn
Mình muốn ba ly trà thạch vải dâu và thêm đường một chút.,Tôi trà dâu ba đường ít muốn
Em gọi hai ly sữa chua chanh dây và một ly cà phê đen.,Tôi sữa chua xoài hai cà-phê đen một muốn
Em lấy lấy thêm giấy ăn,Tôi giấy ăn muốn
Anh muốn hai ly sữa chua kiwi nha đam và một ly sữa chua dâu.,Tôi sữa chua xoài hai sữa chua dâu một muốn
"Em lấy ba ly trà thạch sữa đào, để nóng nhé.",Tôi trà gừng nóng ba muốn
Anh gọi hai ly sữa chua dâu và một ly cà phê đen.,Tôi sữa chua xoài hai cà-phê đen một muốn
Lấy Tôi thêm một ly socola đá đen.,Tôi cà-phê đen một muốn
"Lấy Tôi bốn ly americano sữa, thêm đá nhiều.",Tôi cà-phê sữa bốn đá nhiều muốn
Làm đem Tôi thêm một ly nước ép cà rốt.,Tôi nước ép ổi một muốn
"Em lấy ba ly sữa chua cam nha đam, làm nhanh giúp Tôi.",Tôi sữa chua dâu ba muốn
"Lấy Tôi một ly cà phê sữa, một ly nước chanh hoa đậu biếc, và giấy ăn.",Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
"Em muốn ba ly nước ép cam, thêm đá nhiều.",Tôi nước ép cóc ba đá nhiều muốn
Mình muốn một ly capuchino sữa,Tôi cà-phê sữa một muốn
Lấy Anh thêm ít giấy ăn,Tôi giấy ăn muốn
Anh muốn ba ly sữa tươi trân châu đường đen trứng nướng và thêm giấy ăn.,Tôi trà sữa  ba giấy ăn muốn
"Mình muốn ba ly nước ép thơm, thêm đá nhiều.",Tôi nước ép cóc ba đá nhiều muốn
Lấy Tôi thêm một ly socala nóng đen.,Tôi cà-phê đen một muốn
Mình muốn bốn ly trà lipton cam thảo đá dâu.,Tôi trà dâu bốn muốn
Gọi giúp em một nước ép cà chua ít ngọt.,mình nước ép cóc một ngọt ít muốn
Cho giúp mình một nước chanh hoa đậu biếc ít đá thôi.,mình nước ép cam một đá ít muốn
Làm lấy mình một ly trà olong dâu vải dâu size lớn.,mình trà dâu một lớn muốn
Đem Tôi một ly nước chanh hoa đậu biếc,Tôi nước ép thơm một muốn
Anh muốn một ly cà phê đen Sài Gòn phin sữa,Tôi cà-phê sữa một muốn
Lấy Tôi thêm một ly cacao muốn sữa.,Tôi cà-phê sữa một muốn
Mình order một phần sữa chua cam nha đam.,mình sữa chua xoài một muốn
Lấy Tôi hai ly trà xoài và một ly nước ép cà chua.,Tôi trà xoài hai nước ép cam một muốn
"Mình muốn bốn ly sữa tươi trân châu đường đen trứng nướng, ít ngọt.",Tôi trà sữa  bốn ngọt ít muốn
Lấy Tôi thêm một ly sữa tươi trân châu đường đen kem trứng.,Tôi trà sữa một muốn
Mình muốn gọi thêm một ly trà gừng xoài.,Tôi trà xoài một muốn
"Em muốn một ly nước ép cà rốt, một ly trà xoài, và thêm đá.",Tôi nước ép thơm một trà xoài một đá muốn
"Lấy mình trà đào cam sả nóng xoài, ít đá.",mình trà xoài một đá ít muốn
Anh muốn một ly sữa chua đào,Tôi sữa chua dâu một muốn
"Mình muốn một ly cà phê trứng nóng đen, ít đường thôi.",Tôi ly một cà phê đen đường ít muốn
Mình chọn một phần trà lipton cam thảo nóng dâu nha.,mình trà dâu một muốn
Anh muốn gọi thêm một ly trà vải cam sả.,Tôi trà gừng một muốn
"Em gọi hai ly sữa chua kiwi nha đam, một ly cà phê đen, và một phích cắm.",Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
Em cần một cái ống hút.,Tôi ống hút một muốn
Lấy mình một ly nước ép cóc không đá.,mình nước ép thơm một đá không muốn
Em gọi một tách nước cam,Tôi nước ép cam một muốn
Mình lấy một phần sữa chua dâu.,mình sữa chua xoài một muốn
Mình muốn một ly sữa chua cam nha đam,Tôi sữa chua dâu một muốn
Lấy Tôi một ly cà phê đen máy đen,Tôi cà-phê đen một muốn
Mình lấy một ly nước ép ổi và một phích cắm.,Tôi nước ép thơm một phích cắm muốn
Mình gọi hai ly sữa chua việt quất và một ly cà phê đen.,Tôi sữa chua xoài hai cà-phê đen một muốn
Anh muốn một ly nước ép cam,Tôi nước ép ổi một muốn
Mình uống một trà đào cam sả đá hoa đậu biếc nhé.,mình trà hoa đậu biếc một muốn
Anh gọi một ly trà olong dâu vải dâu,Tôi trà dâu một muốn
Em muốn bốn ly sữa chua việt quất và một phích cắm.,Tôi sữa chua chanh dây bốn phích cắm muốn
Đem Tôi thêm một ly sữa chua việt quất.,Tôi sữa chua xoài một muốn
"Em muốn thêm đường cho ba ly trà lipton cam thảo đá dâu, cảm ơn.",Tôi trà dâu ba đường muốn
Lấy Tôi thêm một ly trà lipton cam thảo nóng dâu,Tôi trà dâu một muốn
Mình uống một nước ép cóc vừa thôi.,mình nước ép ổi một muốn
Mình order mượn phích cắm.,Tôi phích cắm muốn
"Mình muốn một ly trà thạch vải hoa đậu biếc, làm nhanh.",Tôi trà hoa đậu biếc một muốn
Mình muốn một ly cà phê đen và hai ly sữa chua đào.,Tôi cà-phê đen một sữa chua xoài hai muốn
Mình muốn một ly trà olong dâu vải và hai ly cà phê sữa.,Tôi trà gừng một cà-phê sữa hai muốn
Em muốn một ly cà phê trứng nóng đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
"Đem Tôi hai ly americano đen và một ly trà xoài, cảm ơn.",Tôi cà-phê đen hai trà xoài một muốn
Anh order thêm giấy ăn và một phích cắm.,Tôi giấy ăn phích cắm muốn
Làm cho mình một ly nước ép thơm không đường.,mình nước ép cam một đường không muốn
"Anh muốn một ly nước ép cam, một ly trà gừng, và một ly sữa chua việt quất.",Tôi nước ép cam một trà gừng một sữa chua xoài một muốn
Đem Em thêm một cái muỗng.,Tôi muỗng một muốn
Cho cho Tôi một ly nước ép cóc và cảm ơn.,Tôi nước ép cam một muốn
"Đem Tôi hai ly sữa tươi trân châu đường đen trứng nướng, thêm đường.",Tôi trà sữa  hai đường muốn
Đem Tôi thêm một ly trà cam nha đam dâu,Tôi trà dâu một muốn
"Mình lấy ba ly sữa chua kiwi nha đam, làm nhanh giúp Tôi.",Tôi sữa chua dâu ba muốn
"Anh gọi hai ly sữa chua kiwi nha đam, một ly cà phê đen, và một phích cắm.",Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
Đem mình một ly sữa tươi trân châu đường đen trứng nướng nha.,mình trà sữa một muốn
Anh gọi hai ly trà hoa đậu biếc và một ly sữa chua dâu.,Tôi trà hoa đậu biếc hai sữa chua chanh dây một muốn
Anh muốn một ly sữa tươi trân châu đường đen trứng nướng,Tôi trà sữa  một muốn
Làm cho mình một ly nước ép cóc không đường.,mình nước ép cam một đường không muốn
Mình uống một trà lipton cam thảo đá hoa đậu biếc nhé.,mình trà hoa đậu biếc một muốn
Em muốn một ly cà phê moca sữa và một ly trà xoài.,Tôi cà-phê sữa một trà xoài một muốn
Đem Tôi thêm một ly sữa chua đào.,Tôi sữa chua xoài một muốn
Đem Tôi thêm một ly cà phê trứng nóng đen.,Tôi cà-phê đen một muốn
"Lấy Tôi hai ly sữa tươi trân châu đường đen trứng nướng, thêm đường.",Tôi trà sữa  hai đường muốn
"Mình gọi hai ly cà phê đen, một ly sữa chua kiwi nha đam, và cảm ơn.",Tôi cà-phê đen hai sữa chua dâu một muốn
Mình gọi một cốc nước cam,Tôi nước ép cam một muốn
Làm đem mình một ly trà vải cam sả dâu size lớn.,mình trà dâu một lớn muốn
Em muốn thêm một ly trà lipton cam thảo nóng nóng.,Tôi trà gừng một nóng muốn
Anh muốn hai ly nước chanh xí muội và một phích cắm gần bàn.,Tôi nước ép cóc hai phích cắm muốn
Mình muốn hai ly trà đào cam sả đá xoài và thêm đá.,Tôi trà xoài hai đá muốn
"Anh muốn bốn ly sữa chua dâu, làm lạnh.",Tôi sữa chua chanh dây bốn lạnh muốn
Anh gọi một ly trà cam quế mật ong đá dâu,Tôi trà dâu một muốn
Anh muốn hai ly sữa chua việt quất và một ly sữa chua dâu.,Tôi sữa chua xoài hai sữa chua dâu một muốn
Làm đem Tôi một ly trà vải cam sả xoài,Tôi trà xoài một muốn
Mình muốn một ly sữa chua xoài và một ly trà dâu.,sữa chua dâu một trà dâu một muốn
"Đem Tôi một ly cà phê sữa, một ly nước ép cà rốt, và giấy ăn.",Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Lấy Tôi thêm đá cho hai ly cà phê đen Sài Gòn máy sữa.,Tôi cà-phê sữa hai đá muốn
Anh lấy hai ly sữa chua cam nha đam và một ly trà gừng.,Tôi sữa chua xoài hai trà gừng một muốn
Đem Em một ít khăn giấy.,Tôi khăn giấy ít muốn
Anh cần một cái ống hút.,Tôi ống hút một muốn
Lấy Tôi một ly trà lipton cam thảo nóng dâu và thêm giấy ăn.,Tôi trà dâu một giấy ăn muốn
Lấy Tôi một ly cà phê đen máy đen không đường.,Tôi cà-phê đen một đường không muốn
Mình muốn hai ly nước ép cà rốt và một phích cắm gần bàn.,Tôi nước ép cóc hai phích cắm muốn
"Mình muốn bốn ly sữa chua xoài, làm lạnh.",Tôi sữa chua chanh dây bốn lạnh muốn
"Lấy Tôi một ly sữa chua kiwi nha đam, không đường.",Tôi sữa chua dâu một đường không muốn
Mình lấy gọi một cacao nóng sữa nóng.,mình cà-phê sữa một nóng muốn
Đem Tôi một ly nước ép cóc,Tôi nước ép thơm một muốn
Anh muốn ba ly trà cam quế mật ong đá dâu và thêm đường một chút.,Tôi trà dâu ba đường ít muốn
Lấy Tôi hai ly trà xoài và một ly nước ép thơm.,Tôi trà xoài hai nước ép cam một muốn
Lấy mình một nước chanh xí muội không bỏ đường.,mình nước ép cóc một đường không muốn
Em muốn ba ly sữa chua việt quất.,Tôi sữa chua chanh dây ba muốn
Đem Tôi một ly trà hoa đậu biếc và ba ly nước ép cà chua.,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Lấy mình một ly sữa tươi trân châu đường đen kem trứng nha.,mình trà sữa một muốn
"Đem mình trà lipton cam thảo đá xoài, ít đá.",mình trà xoài một đá ít muốn
Chuẩn bị cho mình một nước ép cà rốt mát lạnh.,mình nước ép thơm một lạnh muốn
Anh muốn ba ly nước ép ổi và một phích cắm.,Tôi nước ép thơm ba phích cắm muốn
Em muốn một ly cà phê đen và hai ly sữa chua chanh dây.,Tôi cà-phê đen một sữa chua xoài hai muốn
Em muốn gọi thêm một ly sữa chua dâu.,Tôi sữa chua chanh dây một muốn
Mình uống một cà phê trứng đá sữa đá.,mình cà-phê sữa một đá muốn
Làm đem mình một ly socola đá đen không đường.,mình cà-phê đen một đường không muốn
Làm lấy Tôi một ly trà đào cam sả nóng xoài,Tôi trà xoài một muốn
Đem Tôi thêm một ly sữa chua cam nha đam.,Tôi sữa chua dâu một muốn
"Lấy Tôi một ly sữa tươi trân châu đường đen trứng nướng, không ngọt lắm.",Tôi trà sữa một ngọt ít muốn
"Đem Tôi năm ly nước ép cam, mang ra nhanh giúp.",Tôi nước ép thơm năm muốn
Em muốn gọi thêm một ly trà thạch sữa đào xoài.,Tôi trà xoài một muốn
"Mình muốn một ly trà dâu và một ly cacao nóng sữa, ít đá.",Tôi trà dâu một cà-phê sữa một đá ít muốn
Mang cho Tôi một ly cà phê đen và một ly nước ép cóc.,Tôi cà-phê đen một nước ép thơm một muốn
Em muốn gọi thêm một ly sữa chua đào.,Tôi sữa chua chanh dây một muốn
Đem Tôi thêm đá cho hai ly socala nóng sữa.,Tôi cà-phê sữa hai đá muốn
Mình gọi một ly nước ép ổi và hai ly sữa tươi trân châu đường đen trứng nướng.,Tôi nước ép ổi một trà sữa hai muốn
Anh muốn thêm một ly nước chanh xí muội.,Tôi nước ép cam một muốn
Mình muốn hai ly cà phê moca đen.,Tôi cà-phê đen hai muốn
Đem Tôi một ly trà hoa đậu biếc và ba ly nước ép ổi.,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Em muốn hai ly nước chanh hoa đậu biếc và một phích cắm gần bàn.,Tôi nước ép cóc hai phích cắm muốn
Lấy mình một nước ép cam không bỏ đường.,mình nước ép cóc một đường không muốn
Mình uống một cốc nước ép thơm nguyên chất.,mình nước ép ổi một nguyên chất muốn
Anh muốn hai ly socala nóng đen.,Tôi cà-phê đen hai muốn
"Em muốn một ly cà phê đen Sài Gòn máy sữa, ít đá, và thêm giấy ăn.",Tôi cà-phê sữa một đá ít giấy ăn muốn
Mình muốn gọi thêm một ly trà đào cam sả đá.,Tôi trà gừng một muốn
Em order thêm giấy ăn và một phích cắm.,Tôi giấy ăn phích cắm muốn
Đem mình một ly cacao muốn đen đá.,mình cà-phê đen một muốn
"Anh muốn một ly cà phê đen máy đen, ít đường thôi.",Tôi cà-phê đen một đường ít muốn
"Anh muốn ba ly nước ép ổi, thêm đá nhiều.",Tôi nước ép cóc ba đá nhiều muốn
Anh muốn thêm một ly trà vải cam sả nóng.,Tôi trà gừng một nóng muốn
Lấy Tôi một ly sữa tươi trân châu đường đen kem trứng,Tôi trà sữa một muốn
Mình gọi thử sữa tươi trân châu đường đen trứng nướng.,mình trà sữa một muốn
Làm lấy Tôi thêm một ly trà cam quế mật ong nóng dâu.,Tôi trà dâu một muốn
Anh lấy một ly nước chanh hoa đậu biếc và một phích cắm.,Tôi nước ép thơm một phích cắm muốn
Làm đem mình một ly cà phê dừa đen không đường.,mình cà-phê đen một đường không muốn
Đem Tôi thêm một ly trà đào cam sả nóng hoa đậu biếc.,Tôi trà hoa đậu biếc một muốn
Lấy Tôi một ly cà phê kem caramel đen,Tôi cà-phê đen một muốn
Mình muốn bốn ly trà đào cam sả nóng dâu.,Tôi trà dâu bốn muốn
Mang cho mình một ly trà thạch sữa đào hoa đậu biếc đẹp đẹp nhé.,mình trà hoa đậu biếc một muốn
Anh muốn một ly sữa chua đào và một ly trà dâu.,sữa chua dâu một trà dâu một muốn
Mình gọi một ly trà hoa đậu biếc và một ly sữa chua việt quất.,Tôi trà hoa đậu biếc một sữa chua chanh dây một muốn
Đem Tôi một ly americano đen không đường.,Tôi cà-phê đen một đường không muốn
"Anh muốn bốn ly sữa tươi trân châu đường đen trứng nướng, ít ngọt.",Tôi trà sữa  bốn ngọt ít muốn
Em muốn hai ly cà phê đen Sài Gòn phin đen.,Tôi cà-phê đen hai muốn
"Anh muốn một ly bạc xỉu nóng đen, ít đường thôi.",Tôi cà-phê đen một đường ít muốn
Lấy mình một ly nước ép cam không đá.,mình nước ép thơm một đá không muốn
Mình cần một cái ống hút.,Tôi ống hút một muốn
Anh muốn một ly sữa chua việt quất và một ly trà dâu.,sữa chua dâu một trà dâu một muốn
"Em gọi ba ly sữa tươi trân châu đường đen trứng nướng, ít đá.",Tôi trà sữa ba đá ít muốn
Mình lấy mượn phích cắm.,Tôi phích cắm muốn
"Mình lấy ba ly trà lipton cam thảo nóng, để nóng nhé.",Tôi trà gừng nóng ba muốn
Mình cảm ơn bạn,Tôi cảm ơn
Em muốn năm ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà sữa năm muốn
"Mình muốn thêm đường cho ba ly trà lipton cam thảo nóng dâu, cảm ơn.",Tôi trà dâu ba đường muốn
Em order lấy thêm giấy ăn,Tôi giấy ăn muốn
Anh muốn bốn ly cacao muốn sữa và thêm đường.,Tôi cà-phê sữa bốn đường muốn
Mang giúp tôi một tờ giấy ăn.,mình giấy ăn một muốn
"Em muốn một ly cacao nóng sữa, ít đá, và thêm giấy ăn.",Tôi cà-phê sữa một đá ít giấy ăn muốn
Đem Em thêm ít giấy ăn,Tôi giấy ăn muốn
Mình uống một tách trà cam nha đam nóng.,mình trà gừng một nóng muốn
Mình order gọi một cà phê đen Sài Gòn máy sữa nóng.,mình cà-phê sữa một nóng muốn
Anh muốn bốn ly trà cam quế mật ong đá dâu.,Tôi trà dâu bốn muốn
Anh muốn gọi thêm một ly trà đào chanh leo.,Tôi trà gừng một muốn
Làm lấy Tôi một ly nước ép thơm,Tôi nước ép cóc một muốn
Mình gọi mượn phích cắm điện để sạc máy.,mình phích cắm muốn
Anh gọi hai ly cà phê đen máy sữa ít đá nhé.,Tôi cà-phê sữa hai đá ít muốn
Mình lấy lấy thêm giấy ăn,Tôi giấy ăn muốn
Cho cho mình một ly trà lipton cam thảo đá hoa đậu biếc đẹp đẹp nhé.,mình trà hoa đậu biếc một muốn
"Cho cho Tôi ba ly trà cam quế mật ong đá xoài, thêm đường.",Tôi trà xoài ba đường muốn
Anh muốn gọi thêm một ly trà cam nha đam xoài.,Tôi trà xoài một muốn
Đem Tôi thêm một ly nước ép cóc.,Tôi nước ép thơm một muốn
Anh cần thêm một cái muỗng.,Tôi muỗng một muốn
Đem Mình mượn phích cắm.,Tôi phích cắm muốn
Mình lấy thử sữa tươi trân châu đường đen trứng nướng.,mình trà sữa một muốn
"Đem mình trà cam quế mật ong nóng xoài, ít đá.",mình trà xoài một đá ít muốn
Làm đem mình một ly cà phê đen phin đen không đường.,mình cà-phê đen một đường không muốn
Anh muốn một ly trà đào chanh leo và hai ly cà phê sữa.,Tôi trà gừng một cà-phê sữa hai muốn
Em gọi hai ly trà hoa đậu biếc và một ly sữa chua xoài.,Tôi trà hoa đậu biếc hai sữa chua chanh dây một muốn
Em muốn thêm một ly nước ép ổi.,Tôi nước ép cam một muốn
Lấy Em một ít khăn giấy.,Tôi khăn giấy ít muốn
Mình gọi thêm giấy ăn và một phích cắm.,Tôi giấy ăn phích cắm muốn
Đem Tôi một ly cacao muốn đen không đường.,Tôi cà-phê đen một đường không muốn
Em muốn một ly nước ép cam và hai ly nước ép cam.,Tôi nước ép thơm một nước ép cam hai muốn
Cho giúp tôi một tờ giấy ăn.,mình giấy ăn một muốn
Mình uống một tách trà olong dâu vải nóng.,mình trà gừng một nóng muốn
"Đem Tôi bốn ly cà phê trứng đá sữa, thêm đá nhiều.",Tôi cà-phê sữa bốn đá nhiều muốn
Lấy Tôi ba ly sữa chua dâu và một phích cắm gần cửa.,Tôi sữa chua chanh dây ba phích cắm muốn
Mang giúp mình một ly trà lipton cam thảo đá xoài ít đường.,mình trà xoài một đường ít muốn
"Lấy Tôi hai ly cà phê dừa đen và một ly trà xoài, cảm ơn.",Tôi cà-phê đen hai trà xoài một muốn
Mình cần thêm một cái muỗng.,Tôi muỗng một muốn
Cho giúp mình một ly trà cam quế mật ong đá xoài ít đường.,mình trà xoài một đường ít muốn
"Lấy Tôi một ly sữa chua chanh dây, không đường.",Tôi sữa chua dâu một đường không muốn
Em muốn gọi thêm một ly trà vải cam sả xoài.,Tôi trà xoài một muốn
"Em lấy một ly trà lipton cam thảo đá hoa đậu biếc, không đường.",Tôi trà hoa đậu biếc một đường không muốn
Mình muốn hai ly nước ép ổi và một phích cắm gần bàn.,Tôi nước ép cóc hai phích cắm muốn
Lấy mình một ly cacao nóng đen đá.,mình cà-phê đen một muốn
Em muốn hai ly sữa chua kiwi nha đam và một ly sữa chua dâu.,Tôi sữa chua xoài hai sữa chua dâu một muốn
Anh muốn một ly cacao muốn đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
"Mình gọi hai ly sữa tươi trân châu đường đen trứng nướng, thêm đá.",Tôi trà sữa hai đá muốn
Lấy Tôi một ly nước ép cà rốt,Tôi nước ép thơm một muốn
